FECHA DE CORTE,FK_FUE_FINANCIAMIENTO,VC_RUC_ENTIDAD,CH_VIATICOS_TIPO,CH_VIATICOS_RUTA,VC_VIATICOS_AREA,UUID,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,DT_VIATICOS_FECHAS,VIATICOS_FECHAS_RETORNO,VC_VIATICOS_RUTA,VC_VIATICOS_AUTORIZACION,DC_VIATICOS_COSTO_PASAJES_N,DC_VIATICOS_VIA_N,DC_VIATICOS_TOTAL_N,VC_VIATICOS_RESOLUCION
20230717,9,20145496170,2,1,[02118] PROGRAMA DOCTORAL,Cy8U6V9JX8u4C,PUNO,PUNO,PUNO,210101,20161023,20161103,PUNO-BRASIL-PUNO,R.R. 3721-2016-R-UNA/R.DIRECTORAL 1081-2016-DG-EPG,1000.0,0.0,1000.0,R.R. 3721-2016-R-UNA/R.DIRECTORAL 1081-2016-DG-EPG
20230717,9,20145496170,2,1,PROGRAMA DOCTORAL,vH2M7x5pk8g0K,PUNO,PUNO,PUNO,210101,20161119,20161127,PUNO-MEXICO-PUNO,R. RECTORAL 3494-2016-R-UNA,5500.0,0.0,5500.0,R. RECTORAL 3494-2016-R-UNA
20230717,0,20145496170,1,1,Direccion General De Administracion,dV6V0I4XY0i8p,PUNO,PUNO,PUNO,210101,20160111,20160114,Puno-Lima-Puno,Rectorado,513.33,1140.0,1653.33,OFICIO N° 0001-2016-MINEDU/VMGP-DIGESU
20230717,0,20145496170,1,1,Oficina De Recursos Humanos,fW1G8G8Ea2t6C,PUNO,PUNO,PUNO,210101,20160111,20160114,Puno-Lima-Puno,Rectorado,513.33,870.0,1383.33,OFICIO N° 0001-2016-MINEDU/VMGP-DIGESU
20230717,0,20145496170,1,1,Vice Rectorado De Investigacion,gu9U7v5Ot9t9m,PUNO,PUNO,PUNO,210101,20160118,20160120,Puno-Lima-Puno,Rectorado,544.96,760.0,1304.96,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Oficina General De Planificacion,yL7H3X4qD7I1Y,PUNO,PUNO,PUNO,210101,20160118,20160120,Puno-Lima-Puno,Rectorado,544.96,580.0,1124.96,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Oficina General De Planificacion,Mu7v0g7ID5g9O,PUNO,PUNO,PUNO,210101,20160118,20160120,Puno-Lima-Puno,Rectorado,544.96,580.0,1124.96,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Vice Rectorado Academico,Uo5v3Z0mO4p3l,PUNO,PUNO,PUNO,210101,20160118,20160120,Puno-Lima-Puno,Rectorado,524.49,760.0,1284.49,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Rectorado,kr1t4E2mP7r0L,PUNO,PUNO,PUNO,210101,20160118,20160120,Puno-Lima-Puno,Rectorado,524.49,760.0,1284.49,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Secretaria General,aN1z9g5tQ8H1j,PUNO,PUNO,PUNO,210101,20160111,20160114,Puno-Lima-Puno,Rectorado,513.33,1140.0,1653.33,OFICIO N° 0001-2016-MINEDU/VMGP-DIGESU
20230717,0,20145496170,1,1,Oficina General de Asesoria Juridica,qI9e9X8yM9O3w,PUNO,PUNO,PUNO,210101,20160119,20160122,Puno-Lima-Puno,Oficina General de Asesoria Juridica,561.94,1160.0,1721.94,OFICIO N° 020-2016-J-OGAJ-UNA-PUNO
20230717,0,20145496170,1,1,Rectorado,IQ2K7G4fE1x4f,PUNO,PUNO,PUNO,210101,20160111,20160114,Puno-Lima-Puno,Oficina General de Asesoria Juridica,0.0,1140.0,1140.0,OFICIO N° 0001-2016-MINEDU/VMGP-DIGESU
20230717,0,20145496170,1,1,Escuela Prof. Educacion Inicial,ov5w6P2xj2q9F,PUNO,PUNO,PUNO,210101,20160117,20160130,Puno-Lima-Puno,Decanato Educacion,0.0,1000.0,1000.0,RESOLUCION DECANAL N° 020-2016-D-FCEDUC-UNA
20230717,0,20145496170,1,1,Oficina De Gestion Financiera,AV2B2K7Po2O7M,PUNO,PUNO,PUNO,210101,20160126,20160129,Puno-Lima-Puno,Gestion Financiera,466.5,880.0,1346.5,OFICIO N° 08-2016-COMACFINODEPREC-UNA
20230717,0,20145496170,1,1,Oficina De Racionalizacion,DS2s7z5eZ0j2y,PUNO,PUNO,PUNO,210101,20160124,20160127,Puno-Lima-Puno,Planificacion,500.59,880.0,1380.59,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Oficina De Contaduria General,EN6G4q0Fe2A7L,PUNO,PUNO,PUNO,210101,20160125,20160127,Puno-Lima-Puno,Contabilidad,0.0,2055.0,2055.0,OFICIO N° 02-2016-COMACFINODEPREC-UNA
20230717,0,20145496170,1,1,Oficina De Contaduria General,Sp6d4G8nl3Q5v,PUNO,PUNO,PUNO,210101,20160125,20160129,Puno-Lima-Puno,Contabilidad,0.0,1560.0,1560.0,OFICIO N° 02-2016-COMACFINODEPREC-UNA
20230717,0,20145496170,1,1,Oficina De Contaduria General,RG3V6n8mj0b2o,PUNO,PUNO,PUNO,210101,20160125,20160128,Puno-Lima-Puno,Contabilidad,0.0,922.0,922.0,OFICIO N° 02-2016-COMACFINODEPREC-UNA
20230717,0,20145496170,1,1,Rectorado,tC9N6s0Jn1u1E,PUNO,PUNO,PUNO,210101,20160121,20160124,Puno-Lima-Puno,Rectorado,511.77,440.0,951.77,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,Direccion General De Administracion,ie9C1M9Mu6e9z,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Rectorado,626.28,1140.0,1766.28,OFICIO N° 073-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina De Contaduria General,MU3L2V1TD5j0g,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Contabilidad,626.28,870.0,1496.28,OFICIO N° 073-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina De Contaduria General,af5f0q8ga3C6j,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Contabilidad,626.28,660.0,1286.28,OFICIO N° 073-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina General De Planificacion,ij5D6x5Qb6H5v,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Planificacion,626.28,870.0,1496.28,OFICIO N° 073-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina General De Planificacion,dv2X7O8Tb3T3l,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Planificacion,626.28,870.0,1496.28,OFICIO N° 073-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina De Recursos Humanos,Kv5b4w6wk4W2k,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Recursos Humanos,626.28,870.0,1496.28,OFICIO N° 088-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,Oficina General De Planificacion,rz2V5I3dm7x7s,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Planificacion,626.28,870.0,1496.28,OFICIO N° 088-2016-J-OGPD-UNA-P
20230717,9,20145496170,1,1,Oficina De Recursos Humanos,eG5v8w1JJ9L0w,PUNO,PUNO,PUNO,210101,20160127,20160130,Puno-Lima-Puno,Recursos Humanos,508.22,660.0,1168.22,OFICIO N° 019-2016-SUTRA-UNA-PUNO
20230717,9,20145496170,1,1,Maestria Informatica,UI7t5F5Ho1n3Y,PUNO,PUNO,PUNO,210101,20160123,20160131,Puno-Lima-Puno,Post Grado,0.0,2000.0,2000.0,RESOLUCION DIRECTORAL N° 0031-2016-DG-EPG-UNA
20230717,9,20145496170,1,1,Maestria Informatica,wA1C1M2Nl6Q5L,PUNO,PUNO,PUNO,210101,20160123,20160131,Puno-Lima-Puno,Post Grado,0.0,2000.0,2000.0,RESOLUCION DIRECTORAL N° 0030-2016-DG-EPG-UNA
20230717,9,20145496170,1,1,Maestria Ciencias Sociales,db2s1n1eN1s0Y,PUNO,PUNO,PUNO,210101,20160128,20160130,Puno-Lima-Puno,Post Grado,0.0,2000.0,2000.0,RESOLUCION DIRECTORAL 34-2016-DG-EPG-UNA
20230717,0,20145496170,1,1,VICERRECTORADO DE INVESTIGACION,Ke2t6G3vY0R2e,PUNO,PUNO,PUNO,210101,20160210,20160213,Puno-Lima-Puno,VICERRECTORADO DE INVESTIGACION,981.76,660.0,1641.75,OFICIO Nº 029-VRI-UNA-PUNO
20230717,0,20145496170,1,1,OFICINA GENERAL DE ASESORIA JURIDICA,JL6h3V2dp8P9W,PUNO,PUNO,PUNO,210101,20160215,20160215,Puno-Lima-Puno,OFICINA GENERAL DE ASESORIA JURIDICA,580.0,1027.98,1607.98,OFICIO N° 054-2016-J-OGAJ-UNA-PUNO
20230717,0,20145496170,1,1,OFICINA DE TECNOLOGIA INFORMATICA Y TELECOMUNICACIONES,aA9M9g3ww8f1U,PUNO,PUNO,PUNO,210101,20160223,20160225,Puno-Lima-Puno,RECTORADO,440.0,571.77,1011.77,MEMORANO N° 149-2016-R-UNA
20230717,0,20145496170,1,1,GESTION ADMINISTRATIVA,bp6L2S8Be7s7d,PUNO,PUNO,PUNO,210101,20160214,20160216,Puno-Lima-Puno,GESTION ADMINISTRATIVA,580.0,815.96,1395.96,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,VICE RECTORADO DE INVESTIGACION,VW7F3L7pH9x1r,PUNO,PUNO,PUNO,210101,20160222,20160223,Puno-Lima-Puno,VICE RECTORADO DE INVESTIGACION,380.0,894.79,1274.79,AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION,pq7N9S3jZ6x9k,PUNO,PUNO,PUNO,210101,20160222,20160226,Puno-Lima-Puno,OFICINA GENERAL DE PLANIFICACION,1160.0,1528.03,2688.03,OFICIO N° 173-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,OFICINA DE RECURSOS HUMANOS,ZZ8G6h1HV9j7H,PUNO,PUNO,PUNO,210101,20160222,20160226,Puno-Lima-Puno,OFICINA GENERAL DE PLANIFICACION,880.0,1085.19,1965.19,OFICIO N° 173-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION,FW5r1m6WN2p8r,PUNO,PUNO,PUNO,210101,20160222,20160226,Puno-Lima-Puno,OFICINA GENERAL DE PLANIFICACION,1160.0,1277.34,2437.34,OFICIO N° 173-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,RECTORADO,gf5w9d7pP7z0T,PUNO,PUNO,PUNO,210101,20160222,20160226,Puno-Lima-Puno,RECTORADO,1005.82,1520.0,2525.82,OFICIO N° 173-2016-J-OGPD-UNA-P
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION,Qv4t9a8mD3h4K,PUNO,PUNO,PUNO,210101,20160222,20160226,Puno-Lima-Puno,OFICINA GENERAL DE PLANIFICACION,1085.19,1160.0,2245.19,OFICIO N° 173-2016-J-OGPD-UNA-P
20230717,9,20145496170,1,1,OFICINA DE TECNOLOGIA INFORMATICA,Uo3m0B5Uv0X8f,PUNO,PUNO,PUNO,210101,20160223,20160225,Puno-Lima-Puno,RECTORADO,660.0,788.17,1448.17,MEMORANDO N° 164-2016-R-UNA
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,dT4r3O3Co3b2Q,PUNO,PUNO,PUNO,210101,20160225,20160228,Puno-Lima-Puno,RECTORADO,870.64,880.0,1750.64,MEMORANDO N° 172-2016-R-UNA
20230717,0,20145496170,1,1,VICERRECTORADO DE INVESTIGACION,Br2t9m9aB8v3w,PUNO,PUNO,PUNO,210101,20160304,20160307,Puno-Lima-Puno,VICERRECTORADO DE INVESTIGACION,439.84,440.0,879.84,MEMORANDO Nº 045-2016-VRI-UNA-PUNO
20230717,0,20145496170,1,1,OFICINA GENERAL DE CONTADURIA,Is3d6m8Xx3w0w,PUNO,PUNO,PUNO,210101,20160318,20160318,Puno-Lima-Puno,OFICINA GENERAL DE CONTADURIA,398.5,1330.0,1728.5,PLANILLA DE VIAJE
20230717,0,20145496170,1,1,RECTORADO,pl2d0V0dY7s1O,PUNO,PUNO,PUNO,210101,20160309,20160312,Puno-Lima-Puno,RECTORADO,526.02,880.0,1406.02,PLANILLA DE VIAJE AUTORIZADO POR EL RECTOR
20230717,0,20145496170,1,1,OFICINA DE GESTION FINANCIERA,PK1i6Z8kL1i8o,PUNO,PUNO,PUNO,210101,20160309,20160312,Puno-Lima-Puno,OFICINA DE GESTION FINANCIERA,526.02,1610.0,2136.02,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,DIRECCION GENERAL DE ADMINISTRACION,Wx5v2D5Tg9s3F,PUNO,PUNO,PUNO,210101,20160315,20160319,Puno-Lima-Puno,DIRECCION GENERAL DE ADMINISTRACION,874.6,1160.0,2034.6,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE ASESORIA,nk2e4j0CL5w5f,PUNO,PUNO,PUNO,210101,20160314,20160316,Puno-Lima-Puno,OFICINA GENERAL DE ASESORIA,457.24,580.0,1037.24,OFICIO NRO 084-2016-J-OGAJ-UNA-PUNO
20230717,0,20145496170,1,1,RECTORADO,AO9X8m0oc7y5j,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,1140.0,1716.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,Id5q5d4Vb4q3I,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,870.0,1446.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE INFRAESTRUCTURA UNIVERSITARIA,bl2x6P8OV7s9I,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,556.21,1160.0,1716.21,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,tb6l6y9Vs6Y0c,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,1160.0,1736.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,Kp6B5O3PZ6R5j,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,1160.0,1736.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,UNIDAD DE ABASTECIMIENTO,qV8O6W8wH7g4B,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,1160.0,1736.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,yU8P2t4eS6L1B,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,576.68,880.0,1456.68,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,GX1N5E9gx8V8d,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,593.06,1160.0,1753.06,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,Zu7U3C7bs8B2e,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,511.17,1160.0,1671.17,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA DE TECNOLOGIA INFORMATICA Y TELECOMUNICACIONES,Mo3N5I8Aj2z3c,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,0.0,1160.0,1671.17,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE PLANIFICACION Y DESARROLLO,kL8c8Y8nY6t9c,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,510.0,440.0,950.0,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE INFRAESTRUCTURA UNIVERSITARIA,sO5A4j0BQ0q5V,PUNO,PUNO,PUNO,210101,20160315,20160318,Puno-Lima-Puno,RECTORADO,510.0,440.0,950.0,PLANILLA DE AUTORIZACION DE VIAJE
20230717,0,20145496170,1,1,DIRECCION GENERAL DE ADMINISTRACION,WY0b1j9Kk7f6F,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,912.75,1520.0,2432.75,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,OFICINA DE CONTADURIA GENERAL,ra6U2i4Hi0m8Y,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,912.75,1160.0,2072.75,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,UNIDAD DE PATRIMONIO,zo0l2n6WX9x7o,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,912.75,1160.0,2072.75,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,OFICINA DE CONTADURIA GENERAL,DY3g9G3YK0Y3Q,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,912.75,880.0,1792.75,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,OFICINA DE CONTADURIA GENERAL,kb4v6R5OF6q4P,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,912.75,1160.0,2072.75,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,OFICINA DE CONTADURIA GENERAL,aC8R0B5Dj0T9T,PUNO,PUNO,PUNO,210101,20160326,20160330,Puno-Lima-Puno,OFICINA GENERAL DE CONTABILIDAD,880.0,1010.37,1890.37,OFICIO NRO 068-2016-OCG-UNA
20230717,0,20145496170,1,1,OFICINA DE IMAGEN INSTITUCIONAL,KM8o4G4mr8D6w,PUNO,PUNO,PUNO,210101,20160323,20160326,Puno-Arequipa-Puno,RECTORADO,80.0,720.0,800.0,PLANILLA DE AUTORIZACION VIAJE
20230717,0,20145496170,1,1,OFICINA GENERAL DE ASESORIA JURIDICA,az3c6D2wc0j5V,PUNO,PUNO,PUNO,210101,20160329,20160331,Puno-Lima-Puno,OFICINA GENERAL DE ASESORIA JURIDICA,398.13,580.0,978.13,OF. NRO 0106-2016-J-OGAJ-UNA-PUNO
20230717,0,20145496170,1,1,VICE RECTORADO ACADEMICO,Ar1R0N6YW8B1R,PUNO,PUNO,PUNO,210101,20160328,20160330,Puno-Arequipa-Puno,RECTORADO,0.0,300.0,300.0,PLANILLA DE AUTORIZACION VIAJE
20230717,0,20145496170,1,1,RECTORADO,rz1o5P9rB9f3U,PUNO,PUNO,PUNO,210101,20160330,20160402,Puno-Lima-Puno,RECTORADO,499.1,1520.0,2019.1,MEMORANDO NRO 280-2016-R-UNA
20230717,0,20145496170,1,1,VICE RECTORADO ACADEMICO,rW0z8L7EM2t7x,PUNO,PUNO,PUNO,210101,20160330,20160402,Puno-Lima-Puno,RECTORADO,499.1,1520.0,2019.1,MEMORANDO NRO 280-2016-R-UNA
20230717,0,20145496170,1,1,VICE RECTORADO ACADEMICO,Sl5Q6b9oo3j3q,PUNO,PUNO,PUNO,210101,20160330,20160402,Puno-Lima-Puno,RECTORADO,499.1,1520.0,2019.1,MEMORANDO NRO 280-2016-R-UNA
20230717,0,20145496170,1,1,OFICINA DE SECRETARIA GENERAL,tg6g7B9AT2w5S,PUNO,PUNO,PUNO,210101,20160329,20160331,Puno-Lima-Puno,RECTORADO,587.11,760.0,1347.11,MEMORANDO NRO 281-2016-R-UNA
20230717,0,20145496170,1,1,FACULTAD DE INGENIERIA AGRICOLA,yR0d2M5rl9z2W,PUNO,PUNO,PUNO,210101,20160411,20160418,Puno - Lima - Puno,FACULTAD DE INGENIERIA AGRICOLA,1200.0,0.0,1200.0,R.DECANATO 030-2016-D-FIA-UNA-PUNO
20230717,0,20145496170,1,1,VICE RECTORADO DE INVESTIGACION,uo9M2j6Xq0U6j,PUNO,PUNO,PUNO,210101,20160413,20160417,Puno - Lima - Puno,VICE RECTORADO DE INVESTIGACION,528.0,1520.0,2048.0,PLANILLA AUTORIZACION DE VIAJE/AUTORIZA TITULAR DE ENTIDAD
20230717,0,20145496170,1,1,RECTORADO,wq5R8m2Xg4Y1E,PUNO,PUNO,PUNO,210101,20160413,20160417,Puno - Lima - Puno,Rectorado,528.0,1520.0,2048.0,PLANILLA AUTORIZACION DE VIAJE/AUTORIZA TITULAR DE ENTIDAD
20230717,0,20145496170,1,1,VICE RECTORADO ACADEMICO,Un6a9j2pq2q1s,PUNO,PUNO,PUNO,210101,20160413,20160417,Puno - Lima - Puno,VICE RECTORADO ACADEMICO,528.94,1520.0,2048.94,PLANILLA AUTORIZACION DE VIAJE/AUTORIZA TITULAR DE ENTIDAD
20230717,0,20145496170,1,1,FACULTAD DE ING. ECONOMICA,nz3G9a9WL1C1T,PUNO,PUNO,PUNO,210101,20160413,20160417,Puno - Lima - Puno,FACULTAD DE ING. ECONOMICA,1600.0,0.0,1600.0,R.DECANATO 020-2016-D-FIE-UNA
20230717,9,20145496170,1,1,COMISION CENTRAL DE ADMISION,gb8d9f0iI9J4G,PUNO,PUNO,PUNO,210101,20160420,20160423,Puno - Lima - Puno,COMISION CENTRAL DE ADMISION,2000.0,0.0,2000.0,OFICIO 0309-2016-P-CCA-UNA
20230717,9,20145496170,1,1,COMISION CENTRAL DE ADMISION,Ud5i5s7pD1W2u,PUNO,PUNO,PUNO,210101,20160420,20160423,Puno - Lima - Puno,COMISION CENTRAL DE ADMISION,2000.0,0.0,2000.0,OFICIO 0309-2016-P-CCA-UNA
20230717,9,20145496170,1,1,COMISION CENTRAL DE ADMISION,PV0J7M8Vl1j6K,PUNO,PUNO,PUNO,210101,20160420,20160423,Puno - Lima - Puno,COMISION CENTRAL DE ADMISION,2000.0,0.0,2000.0,OFICIO 0309-2016-P-CCA-UNA
20230717,9,20145496170,1,1,COMISION CENTRAL DE ADMISION,Ge3a7c7IG4f8N,PUNO,PUNO,PUNO,210101,20160420,20160423,Puno - Lima - Puno,COMISION CENTRAL DE ADMISION,2000.0,0.0,2000.0,OFICIO 0309-2016-P-CCA-UNA
20230717,9,20145496170,1,1,COMISION CENTRAL DE ADMISION,zp2W6m7pX5H7p,PUNO,PUNO,PUNO,210101,20160420,20160423,Puno - Lima - Puno,COMISION CENTRAL DE ADMISION,2000.0,0.0,2000.0,OFICIO 0309-2016-P-CCA-UNA
20230717,9,20145496170,1,1,VICE RECTORADO DE,pa2X4M1WV0X0i,PUNO,PUNO,PUNO,210101,20160420,20160424,Puno - Lima - Puno,VICE RECTORADO DE INVESTIGACION,1500.0,0.0,1500.0,MEMORANDO 067-2016-VRI-UNA-PUNO
20230717,9,20145496170,1,1,OFICINA DE SECRETARIA GENERAL,fl4Z8w5JD5u9b,PUNO,PUNO,PUNO,210101,20160420,20160424,Puno - Lima - Puno,OFICINA DE SECRETARIA GENERAL,1500.0,0.0,1500.0,MEMORANDUM 164-2016-SG-UNA.
